2021-12-19 18:44:04.556512 [UID:1261][2239858] Child process with pid: 550638 was killed by signal: 15, core dump: 0
2021-12-21 19:35:08.936942 [UID:1261][577930] Child process with pid: 3103554 was killed by signal: 15, core dump: 0
2021-12-23 19:44:05.194068 [UID:1261][3180039] Child process with pid: 1351690 was killed by signal: 15, core dump: 0
2021-12-27 20:44:07.506514 [UID:1261][402794] Child process with pid: 2423071 was killed by signal: 15, core dump: 0
2021-12-27 20:44:07.507757 [UID:1261][402794] Child process with pid: 2426678 was killed by signal: 15, core dump: 0
2022-01-02 12:44:04.912634 [UID:1261][2823114] Child process with pid: 810404 was killed by signal: 15, core dump: 0
2022-01-03 15:35:04.784764 [UID:1261][1844148] Child process with pid: 356478 was killed by signal: 15, core dump: 0
2022-01-04 16:35:06.238633 [UID:1261][367765] Child process with pid: 3815100 was killed by signal: 15, core dump: 0
2022-01-08 17:35:06.224660 [UID:1261][1835337] Child process with pid: 34146 was killed by signal: 15, core dump: 0
2022-01-12 18:14:15.157092 [UID:1261][2427042] Child process with pid: 895583 was killed by signal: 15, core dump: 0
2022-01-14 18:35:09.802002 [UID:1261][948014] Child process with pid: 3545260 was killed by signal: 15, core dump: 0
2022-01-16 18:44:04.199429 [UID:1261][3551643] Child process with pid: 1716922 was killed by signal: 15, core dump: 0
2022-01-18 19:35:06.306530 [UID:1261][1739655] Child process with pid: 4147156 was killed by signal: 15, core dump: 0
2022-01-24 20:44:06.341889 [UID:1261][1740095] Child process with pid: 3957601 was killed by signal: 15, core dump: 0
2022-02-08 00:35:07.365874 [UID:1261][2199937] Child process with pid: 2009738 was killed by signal: 15, core dump: 0
2022-02-12 01:35:07.791884 [UID:1261][688266] Child process with pid: 1928925 was killed by signal: 15, core dump: 0
2022-02-16 01:46:15.378747 [UID:1261][1327749] Child process with pid: 901299 was killed by signal: 15, core dump: 0
2022-02-16 01:46:15.508081 [UID:1261][1327749] Child process with pid: 901305 was killed by signal: 15, core dump: 0
2022-03-02 06:42:29.351610 [UID:1261][38069] Child process with pid: 2125807 was killed by signal: 15, core dump: 0
2022-03-04 21:35:11.122374 [UID:1261][3880426] Child process with pid: 418764 was killed by signal: 15, core dump: 0
2022-03-08 22:35:07.306293 [UID:1261][84795] Child process with pid: 2551880 was killed by signal: 15, core dump: 0
2022-03-10 22:44:03.476282 [UID:1261][2571639] Child process with pid: 1783260 was killed by signal: 15, core dump: 0
2022-03-12 23:35:08.379046 [UID:1261][1818401] Child process with pid: 3730262 was killed by signal: 15, core dump: 0
2022-03-19 00:44:04.722389 [UID:1261][4096298] Child process with pid: 59645 was killed by signal: 15, core dump: 0
2022-03-19 00:44:04.726933 [UID:1261][4096298] Child process with pid: 58428 was killed by signal: 15, core dump: 0
2022-05-07 03:52:38.300544 [UID:1261][1186934] packetLen < 0
